,Movie_Title,Release_Year,URL_Movie_Names,Rottentomatoes_URLs
0,12 Years a Slave,2013,12_years_a_slave,https://www.rottentomatoes.com/m/12_years_a_slave
1,127 Hours,2010,127_hours,https://www.rottentomatoes.com/m/127_hours
2,13 Hours,2016,13_hours_the_secret_soldiers_of_benghazi,https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi
3,13th,2016,13th,https://www.rottentomatoes.com/m/13th
4,1917,2019,1917,https://www.rottentomatoes.com/m/1917_2019
5,20 Days in Mariupol,2023,20_days_in_mariupol,https://www.rottentomatoes.com/m/20_days_in_mariupol
6,20 Feet from Stardom,2013,20_feet_from_stardom,https://www.rottentomatoes.com/m/20_feet_from_stardom
7,20th Century Women,2016,20th_century_women,https://www.rottentomatoes.com/m/20th_century_women
8,4.1 Miles,2016,41_miles,https://www.rottentomatoes.com/m/41_miles
9,45 Years,2015,45_years,https://www.rottentomatoes.com/m/45_years
10,5 Broken Cameras,2011,5_broken_cameras,https://www.rottentomatoes.com/m/5_broken_cameras
11,A Beautiful Day in the Neighborhood,2019,a_beautiful_day_in_the_neighborhood,https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood
12,A Cat in Paris,2010,a_cat_in_paris,https://www.rottentomatoes.com/m/a_cat_in_paris
13,A Concerto Is a Conversation,2021,a_concerto_is_a_conversation,https://www.rottentomatoes.com/m/a_concerto_is_a_conversation
14,A Fantastic Woman,2017,a_fantastic_woman,https://www.rottentomatoes.com/m/a_fantastic_woman
15,A Girl in the River: The Price of Forgiveness,2015,a_girl_in_the_river_the_price_of_forgiveness,https://www.rottentomatoes.com/m/a_girl_in_the_river_the_price_of_forgiveness
16,A House Made of Splinters,2022,a_house_made_of_splinters,https://www.rottentomatoes.com/m/a_house_made_of_splinters
17,A Love Song for Latasha,2019,a_love_song_for_latasha,https://www.rottentomatoes.com/m/a_love_song_for_latasha
18,A Man Called Ove,2015,a_man_called_ove,https://www.rottentomatoes.com/m/a_man_called_ove
19,How They Donut: A Matter of Loaf and Death,2009,wallace_and_gromit_a_matter_of_loaf_and_death_pands,https://www.rottentomatoes.com/m/wallace_and_gromit_a_matter_of_loaf_and_death_pands
20,A Morning Stroll,2011,a_morning_stroll,https://www.rottentomatoes.com/m/a_morning_stroll
21,A Night at the Garden,2017,a_night_at_the_garden,https://www.rottentomatoes.com/m/a_night_at_the_garden
22,A Prophet,2009,a_prophet,https://www.rottentomatoes.com/m/a_prophet
23,A Quiet Place,2018,a_quiet_place,https://www.rottentomatoes.com/m/a_quiet_place
24,A Royal Affair,2012,a_royal_affair,https://www.rottentomatoes.com/m/a_royal_affair
25,A Separation,2011,a_separation,https://www.rottentomatoes.com/m/a_separation_2011
26,A Serious Man,2009,a_serious_man,https://www.rottentomatoes.com/m/a_serious_man
27,A Shaun the Sheep Movie: Farmageddon,2019,a_shaun_the_sheep_movie_farmageddon,https://www.rottentomatoes.com/m/a_shaun_the_sheep_movie_farmageddon
28,A Single Life,2014,a_single_life,https://www.rottentomatoes.com/m/a_single_life_2014
29,A Single Man,2009,1218217-single_man,https://www.rottentomatoes.com/m/1218217-single_man
30,A Sister,2018,a_sister,https://www.rottentomatoes.com/m/a_sister
31,A Star Is Born,2018,a_star_is_born,https://www.rottentomatoes.com/m/a_star_is_born
32,A War,2015,a_war,https://www.rottentomatoes.com/m/a_war
33,Abacus: Small Enough to Jail,2016,abacus_small_enough_to_jail,https://www.rottentomatoes.com/m/abacus_small_enough_to_jail
34,Ad Astra,2019,ad_astra,https://www.rottentomatoes.com/m/ad_astra
35,Adam and Dog,2011,adam_and_dog,https://www.rottentomatoes.com/m/adam_and_dog
36,Affairs of the Art,2021,affairs_of_the_art,https://www.rottentomatoes.com/m/affairs_of_the_art
37,Aftersun,2022,aftersun,https://www.rottentomatoes.com/m/aftersun
38,Ajami,2009,ajami,https://www.rottentomatoes.com/m/ajami
39,Ala kachuu,2020,ala_kachuu_take_and_run,https://www.rottentomatoes.com/m/ala_kachuu_take_and_run
40,Albert Nobbs,2011,albert_nobbs,https://www.rottentomatoes.com/m/albert_nobbs
41,Alice in Wonderland,2010,1221547-alice_in_wonderland,https://www.rottentomatoes.com/m/1221547-alice_in_wonderland
42,All Is Lost,2013,all_is_lost,https://www.rottentomatoes.com/m/all_is_lost
43,All Quiet on the Western Front,2022,all_quiet_on_the_western_front,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022
44,All That Breathes,2022,all_that_breathes,https://www.rottentomatoes.com/m/all_that_breathes
45,All the Beauty and the Bloodshed,2022,all_the_beauty_and_the_bloodshed,https://www.rottentomatoes.com/m/all_the_beauty_and_the_bloodshed
46,All the Money in the World,2017,all_the_money_in_the_world,https://www.rottentomatoes.com/m/all_the_money_in_the_world
47,Allied,2016,allied,https://www.rottentomatoes.com/m/allied
48,American Factory,2019,american_factory,https://www.rottentomatoes.com/m/american_factory
49,American Fiction,2023,american_fiction,https://www.rottentomatoes.com/m/american_fiction
50,American Hustle,2013,american_hustle,https://www.rottentomatoes.com/m/american_hustle
51,American Sniper,2014,american_sniper,https://www.rottentomatoes.com/m/american_sniper
52,Amour,2012,amour,https://www.rottentomatoes.com/m/amour_2012
53,Amy,2015,amy,https://www.rottentomatoes.com/m/amy_2015
54,An Education,2009,an_education,https://www.rottentomatoes.com/m/an_education
55,An Irish Goodbye,2022,an_irish_goodbye,https://www.rottentomatoes.com/m/an_irish_goodbye
56,An Ostrich Told Me the World Is Fake and I Think I Believe It,2022,an_ostrich_told_me_the_world_is_fake_and_i_think_i_believe_it,https://www.rottentomatoes.com/m/an_ostrich_told_me_the_world_is_fake_and_i_think_i_believe_it
57,Anatomy of a Fall,2023,anatomy_of_a_fall,https://www.rottentomatoes.com/m/anatomy_of_a_fall
58,Animal Behaviour,2018,animal_behaviour,https://www.rottentomatoes.com/m/animal_behaviour
59,Animal Kingdom,2010,animal_kingdom,https://www.rottentomatoes.com/m/animal_kingdom
60,Anna Karenina,2012,anna_karenina,https://www.rottentomatoes.com/m/anna_karenina_2012
61,Anomalisa,2015,anomalisa,https://www.rottentomatoes.com/m/anomalisa
62,Anonymous,2011,anonymous,https://www.rottentomatoes.com/m/anonymous_2011
